                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 2.8908,                 1.1673,                 2.1493,                0.93825,                0.93412,                0.97098,                0.56589,                 2.9532,                 1.0481,                 2.3677,              0.0015743,              0.0015743,              0.0015743
                     45,                 2.8562,                 1.1558,                 2.1644,                0.96353,                0.93852,                0.98312,                0.58906,                 2.8457,                0.99502,                 2.2885,              0.0015644,              0.0015644,              0.0015644
                     46,                 2.9227,                  1.165,                 2.1458,                0.95706,                0.94236,                0.97726,                0.60012,                 2.7604,                0.96485,                 2.2497,              0.0015545,              0.0015545,              0.0015545
                     47,                 2.8542,                 1.1534,                 2.1329,                0.96594,                0.95343,                0.98391,                0.58828,                 2.8629,                0.98294,                 2.2862,              0.0015446,              0.0015446,              0.0015446
                     48,                  2.908,                 1.1534,                 2.1455,                0.96403,                0.94717,                0.98566,                0.58365,                 2.8941,                0.98944,                  2.303,              0.0015347,              0.0015347,              0.0015347
                     49,                 2.8775,                  1.154,                 2.1464,                0.96061,                0.93718,                0.97683,                0.58651,                 2.8912,                0.99186,                 2.3117,              0.0015248,              0.0015248,              0.0015248
                     50,                 2.8383,                 1.1299,                 2.1395,                0.96005,                0.94636,                 0.9797,                0.59928,                 2.7725,                0.97686,                 2.2548,              0.0015149,              0.0015149,              0.0015149
                     51,                 2.8072,                 1.1216,                 2.1225,                0.95094,                0.95485,                0.98348,                0.58786,                 2.8418,                  1.001,                 2.2862,               0.001505,               0.001505,               0.001505
                     52,                 2.8217,                 1.1192,                 2.1272,                 0.9545,                0.94704,                0.97933,                0.59882,                  2.777,                0.99115,                 2.2593,              0.0014951,              0.0014951,              0.0014951
                     53,                 2.8026,                 1.1077,                 2.1482,                0.95208,                0.95773,                0.97846,                0.59596,                 2.7719,                0.96171,                 2.2561,              0.0014852,              0.0014852,              0.0014852
                     54,                 2.8488,                 1.1359,                 2.1334,                0.95758,                0.95389,                0.98475,                0.59563,                 2.7858,                 1.0108,                 2.2707,              0.0014753,              0.0014753,              0.0014753
                     55,                  2.811,                 1.1244,                 2.1268,                0.95042,                0.95869,                0.98291,                0.58772,                 2.8316,                0.98085,                 2.2818,              0.0014654,              0.0014654,              0.0014654
                     56,                 2.8406,                  1.127,                 2.1107,                0.96736,                0.94909,                0.98264,                0.56359,                 2.9332,                0.99062,                 2.3118,              0.0014555,              0.0014555,              0.0014555
                     57,                 2.8112,                 1.1187,                 2.1092,                0.97339,                0.95005,                0.98269,                0.59838,                 2.8581,                0.96458,                 2.2855,              0.0014456,              0.0014456,              0.0014456
                     58,                 2.7687,                  1.094,                 2.1107,                0.97141,                0.96158,                0.98505,                0.60621,                   2.81,                0.92824,                 2.2608,              0.0014357,              0.0014357,              0.0014357
                     59,                 2.7852,                  1.099,                 2.1157,                0.96787,                0.95483,                0.98837,                0.60923,                 2.7896,                0.94607,                 2.2569,              0.0014258,              0.0014258,              0.0014258
                     60,                 2.7628,                 1.0956,                   2.11,                0.97086,                0.95581,                 0.9891,                0.61291,                  2.754,                0.92363,                 2.2515,              0.0014159,              0.0014159,              0.0014159
                     61,                 2.7117,                 1.0662,                 2.1149,                 0.9566,                 0.9529,                0.98302,                0.58731,                 2.9217,                0.97025,                 2.3299,               0.001406,               0.001406,               0.001406
                     62,                 2.7649,                 1.0866,                 2.1268,                0.95723,                0.95677,                0.98658,                0.61084,                 2.7825,                0.94644,                  2.257,              0.0013961,              0.0013961,              0.0013961
                     63,                 2.7713,                 1.0874,                 2.1105,                0.96276,                0.94044,                0.97724,                0.56542,                  2.988,                0.99551,                 2.3483,              0.0013862,              0.0013862,              0.0013862
                     64,                  2.823,                 1.1157,                 2.1314,                0.96258,                0.92795,                0.97868,                0.56382,                 2.9455,                 1.0406,                 2.3287,              0.0013763,              0.0013763,              0.0013763
                     65,                 2.7955,                 1.0853,                 2.1335,                0.96284,                0.94572,                0.97927,                0.56839,                 2.8747,                 1.0098,                 2.3075,              0.0013664,              0.0013664,              0.0013664
                     66,                 2.7201,                 1.0657,                  2.101,                 0.9516,                0.94621,                0.97673,                0.56481,                 2.9905,                  1.021,                 2.3411,              0.0013565,              0.0013565,              0.0013565
                     67,                 2.7769,                 1.0967,                 2.1101,                0.96387,                0.95005,                0.98494,                0.60164,                  2.779,                0.93986,                  2.253,              0.0013466,              0.0013466,              0.0013466
