epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1309.62,2.72987,1.06398,2.13398,0.97156,0.95179,0.98682,0.61644,2.76903,0.89369,2.24942,0.0013664,0.0013664,0.0013664
66,1329.01,2.71737,1.05686,2.146,0.96535,0.95965,0.98608,0.61296,2.76384,0.90254,2.24409,0.0013565,0.0013565,0.0013565
67,1348.73,2.74932,1.06469,2.14258,0.9653,0.96191,0.984,0.60504,2.79536,0.90535,2.26277,0.0013466,0.0013466,0.0013466
68,1368.48,2.73511,1.06511,2.13943,0.97061,0.95178,0.98865,0.62209,2.74331,0.88805,2.24529,0.0013367,0.0013367,0.0013367
69,1388.05,2.69046,1.04554,2.13072,0.96929,0.95869,0.98825,0.6071,2.77699,0.89352,2.24877,0.0013268,0.0013268,0.0013268
70,1407.81,2.70932,1.06291,2.12783,0.96737,0.95965,0.98552,0.61632,2.75723,0.88109,2.24275,0.0013169,0.0013169,0.0013169
71,1427.47,2.7084,1.05332,2.14101,0.97541,0.96158,0.98844,0.61713,2.75697,0.86921,2.23837,0.001307,0.001307,0.001307
72,1447.13,2.70835,1.04842,2.1264,0.97064,0.95264,0.98354,0.61468,2.75902,0.87775,2.24407,0.0012971,0.0012971,0.0012971
73,1466.72,2.67046,1.02792,2.13744,0.97519,0.95197,0.98553,0.61256,2.75372,0.89212,2.25127,0.0012872,0.0012872,0.0012872
74,1486.36,2.70275,1.04785,2.11307,0.96307,0.95196,0.98667,0.61514,2.77948,0.88768,2.25641,0.0012773,0.0012773,0.0012773
75,1505.84,2.69719,1.03358,2.15011,0.97225,0.95293,0.98879,0.61262,2.7758,0.88541,2.24715,0.0012674,0.0012674,0.0012674
76,1525.52,2.70684,1.04216,2.11631,0.96765,0.94825,0.98659,0.60612,2.82717,0.89538,2.26421,0.0012575,0.0012575,0.0012575
77,1545.01,2.72713,1.05686,2.13958,0.97322,0.94267,0.98316,0.61344,2.74704,0.88366,2.24198,0.0012476,0.0012476,0.0012476
78,1564.34,2.67088,1.0287,2.12766,0.96917,0.94717,0.98839,0.60743,2.81376,0.88525,2.25837,0.0012377,0.0012377,0.0012377
79,1583.81,2.64527,1.0227,2.11564,0.96234,0.9683,0.98726,0.61601,2.75759,0.87749,2.24405,0.0012278,0.0012278,0.0012278
80,1603.73,2.64785,1.01201,2.10767,0.96515,0.95779,0.98634,0.61513,2.74255,0.86251,2.23536,0.0012179,0.0012179,0.0012179
81,1623.49,2.67594,1.03488,2.11261,0.9803,0.95583,0.98822,0.61641,2.75529,0.85598,2.24129,0.001208,0.001208,0.001208
82,1643.11,2.63008,1.00746,2.11889,0.96989,0.95936,0.98609,0.61593,2.71944,0.87636,2.23111,0.0011981,0.0011981,0.0011981
83,1663.08,2.66534,1.02507,2.10091,0.97696,0.95965,0.98831,0.6178,2.7552,0.86576,2.24474,0.0011882,0.0011882,0.0011882
84,1683.09,2.64206,1.01115,2.12265,0.97548,0.95523,0.98617,0.61852,2.74987,0.88105,2.23724,0.0011783,0.0011783,0.0011783
85,1702.94,2.66091,1.02457,2.11145,0.97177,0.95895,0.98871,0.62314,2.7539,0.85689,2.23449,0.0011684,0.0011684,0.0011684
86,1722.74,2.62006,1.00261,2.11211,0.97832,0.95359,0.9862,0.61554,2.75961,0.87482,2.24641,0.0011585,0.0011585,0.0011585
87,1742.29,2.634,1.011,2.11239,0.97168,0.95597,0.98756,0.61545,2.77415,0.86322,2.25554,0.0011486,0.0011486,0.0011486
88,1761.98,2.64035,1.00013,2.10428,0.97935,0.95673,0.98811,0.62289,2.74537,0.85803,2.2399,0.0011387,0.0011387,0.0011387
89,1781.76,2.64555,1.01927,2.10243,0.96032,0.96158,0.98597,0.61663,2.73252,0.867,2.23651,0.0011288,0.0011288,0.0011288
90,1801.37,2.61336,1.00308,2.08636,0.96982,0.95697,0.98726,0.62231,2.73643,0.86331,2.23492,0.0011189,0.0011189,0.0011189
91,1821.14,2.68315,1.02583,2.13416,0.96436,0.95293,0.98229,0.61423,2.74558,0.86523,2.24141,0.001109,0.001109,0.001109
92,1840.87,2.63223,1.00055,2.11583,0.97258,0.9635,0.98762,0.61939,2.74883,0.86163,2.24467,0.0010991,0.0010991,0.0010991
93,1860.64,2.68661,1.02394,2.09457,0.96866,0.95869,0.98492,0.61701,2.76047,0.85882,2.24165,0.0010892,0.0010892,0.0010892
94,1880.34,2.63151,1.00267,2.09975,0.97291,0.96606,0.98699,0.61699,2.76123,0.86131,2.24838,0.0010793,0.0010793,0.0010793
95,1899.95,2.62207,1.00334,2.10946,0.96649,0.96985,0.98688,0.61432,2.74811,0.86661,2.25534,0.0010694,0.0010694,0.0010694
96,1919.79,2.61201,0.99257,2.10621,0.97151,0.96158,0.98644,0.62082,2.73485,0.85789,2.23993,0.0010595,0.0010595,0.0010595
97,1939.42,2.63013,0.99485,2.10909,0.97481,0.95293,0.98762,0.6243,2.7435,0.86551,2.2517,0.0010496,0.0010496,0.0010496
98,1958.91,2.61978,0.99578,2.1111,0.96468,0.97067,0.98756,0.62255,2.74748,0.85802,2.23906,0.0010397,0.0010397,0.0010397
99,1978.66,2.58253,0.98165,2.08165,0.97646,0.9565,0.98704,0.61878,2.77464,0.8598,2.24986,0.0010298,0.0010298,0.0010298
100,1998.38,2.56373,0.98582,2.07202,0.97692,0.95965,0.98718,0.625,2.72345,0.85122,2.23453,0.0010199,0.0010199,0.0010199
101,2017.81,2.53495,0.96849,2.07653,0.97938,0.95814,0.98919,0.62625,2.76235,0.84823,2.25832,0.00101,0.00101,0.00101
102,2037.46,2.54847,0.97847,2.06776,0.96718,0.96261,0.98698,0.62754,2.75952,0.84999,2.25791,0.0010001,0.0010001,0.0010001
103,2057.05,2.55832,0.97541,2.09878,0.97503,0.9635,0.98727,0.61444,2.73856,0.86833,2.24814,0.0009902,0.0009902,0.0009902
